id,lab_name,Location,biography,start_date,end_date,SDGs
,Housing & Urban Development Lab,Bliss Hall,"Examines housing affordability, neighborhood change, and urban policy to develop equitable development strategies for Rhode Island communities.",2019-09-01,,Reduced Inequalities|Sustainable Cities and Communities|No Poverty
,Economic Inequality Research Lab,Bliss Hall,"Studies income and wealth gaps across demographic groups using longitudinal data, producing policy briefs that inform state and federal legislation.",2018-01-15,,Reduced Inequalities|Decent Work and Economic Growth|No Poverty
,Computational Social Science Lab,East Hall,"Uses large-scale data analysis and machine learning to study human behavior, social networks, and public opinion dynamics.",2021-03-01,,Quality Education|Industry Innovation and Infrastructure|Decent Work and Economic Growth
,Digital Humanities Lab,East Hall,"Bridges the arts and technology by developing computational tools for textual analysis, archival research, and cultural heritage preservation.",2020-09-01,,Quality Education|Reduced Inequalities|Peace Justice and Strong Institutions
,Urban Policy Analysis Lab,Lippitt Hall,"Produces evidence-based research on municipal governance, land use regulation, and public service delivery for state and regional planners.",2017-06-01,,Sustainable Cities and Communities|Reduced Inequalities|Peace Justice and Strong Institutions
,Community Resilience Research Center,Lippitt Hall,"Investigates how coastal and post-industrial communities adapt to economic shocks, climate stress, and infrastructure decline.",2019-01-10,,Climate Action|Sustainable Cities and Communities|Reduced Inequalities
,Performing Arts Innovation Lab,Edwards Auditorium,"Explores the intersection of live performance, digital media, and audience engagement to reimagine theatrical experiences for diverse publics.",2022-01-01,,Quality Education|Reduced Inequalities|Decent Work and Economic Growth
,Cultural Heritage & Memory Studies Group,Edwards Auditorium,"Documents and analyzes how communities preserve, transmit, and contest cultural memory through performance, oral history, and public art.",2020-09-01,,Peace Justice and Strong Institutions|Reduced Inequalities|Quality Education
,AI & Machine Learning Research Lab,Davis Hall,"Develops novel algorithms in deep learning, reinforcement learning, and natural language processing with applications in healthcare and robotics.",2018-09-01,,Good Health and Well-being|Industry Innovation and Infrastructure|Decent Work and Economic Growth
,Cybersecurity & Privacy Lab,Davis Hall,"Researches cryptographic protocols, network intrusion detection, and privacy-preserving data systems to protect critical digital infrastructure.",2017-01-01,,Industry Innovation and Infrastructure|Peace Justice and Strong Institutions|Decent Work and Economic Growth
,Higher Education Policy Institute,Carlotti Administration Building,"Analyzes tuition policy, student aid design, and institutional accountability to improve access and completion rates in higher education.",2016-09-01,,Quality Education|Reduced Inequalities|No Poverty
,Institutional Data & Analytics Lab,Carlotti Administration Building,"Develops predictive models and dashboards to help university administrators make data-informed decisions on enrollment, retention, and resource allocation.",2020-01-01,,Quality Education|Decent Work and Economic Growth|Industry Innovation and Infrastructure
,Entrepreneurship & Venture Innovation Hub,Ballentine Hall,"Supports student and faculty startups through mentorship, market research, and seed funding programs, with a focus on social impact ventures.",2015-09-01,,Decent Work and Economic Growth|Industry Innovation and Infrastructure|No Poverty
,Consumer Behavior & Market Design Lab,Ballentine Hall,"Investigates how pricing, choice architecture, and behavioral nudges influence consumer decisions in both commercial and public-sector markets.",2019-03-01,,Decent Work and Economic Growth|Responsible Consumption and Production|Reduced Inequalities
,Ethics in Technology Research Group,Taft Hall,"Examines the moral dimensions of artificial intelligence, surveillance, and digital labor, informing institutional and regulatory policy frameworks.",2021-09-01,,Peace Justice and Strong Institutions|Reduced Inequalities|Industry Innovation and Infrastructure
,Philosophy of Science & Knowledge Lab,Taft Hall,"Studies the epistemological foundations of scientific practice, reproducibility, and the relationship between evidence and public trust in institutions.",2018-06-01,,Quality Education|Peace Justice and Strong Institutions|Industry Innovation and Infrastructure
,Advanced Robotics & Autonomous Systems Lab,Kirk Center for Advanced Technology,"Designs and tests autonomous ground and aerial robots for applications in logistics, disaster response, and precision agriculture.",2019-09-01,,Industry Innovation and Infrastructure|Decent Work and Economic Growth|Zero Hunger
,Smart Materials & Sensing Lab,Kirk Center for Advanced Technology,"Develops materials that respond to mechanical, thermal, and electromagnetic stimuli for use in adaptive structures and wearable health monitors.",2020-01-01,,Good Health and Well-being|Industry Innovation and Infrastructure|Decent Work and Economic Growth
,Structural Engineering & Resilience Lab,Fascitelli Center For Advanced Engineering,"Studies how buildings and bridges perform under seismic, wind, and flood loading, developing retrofit strategies for aging infrastructure.",2017-09-01,,Industry Innovation and Infrastructure|Sustainable Cities and Communities|Climate Action
,Sustainable Infrastructure Systems Lab,Fascitelli Center For Advanced Engineering,"Integrates life-cycle assessment, circular economy principles, and low-carbon materials to reduce the environmental footprint of civil infrastructure.",2020-09-01,,Climate Action|Responsible Consumption and Production|Industry Innovation and Infrastructure
,Mechanical Systems Prototyping Lab,Kirk Applied Engineering Lab,"Provides rapid-prototyping capabilities for mechanical and mechatronic systems, supporting student capstone projects and faculty research partnerships.",2016-01-01,,Industry Innovation and Infrastructure|Decent Work and Economic Growth|Quality Education
,Applied Thermal & Fluid Engineering Lab,Kirk Applied Engineering Lab,"Investigates heat transfer, fluid dynamics, and thermodynamic cycles for energy-efficient HVAC, industrial processes, and propulsion systems.",2018-09-01,,Affordable and Clean Energy|Industry Innovation and Infrastructure|Climate Action
,Environmental Education & Outreach Lab,Swan Hall,"Develops K-12 and community curricula that connect environmental literacy to local ecosystems, climate science, and civic action.",2019-01-01,,Quality Education|Life on Land|Climate Action
,Community Ecology Research Group,Swan Hall,"Tracks biodiversity, invasive species dynamics, and ecosystem services across southern New England landscapes using citizen-science data networks.",2018-03-01,,Life on Land|Life Below Water|Climate Action
,Renewable Energy Systems Lab,Green Hall,"Designs and tests solar photovoltaic, wind, and battery storage configurations for campus and community microgrid applications.",2017-09-01,,Affordable and Clean Energy|Climate Action|Industry Innovation and Infrastructure
,Campus Sustainability & Carbon Neutrality Lab,Green Hall,"Monitors URI's operational carbon footprint and pilots energy-efficiency interventions across campus buildings, dining, and transportation fleets.",2020-01-01,,Climate Action|Responsible Consumption and Production|Sustainable Cities and Communities
,Chemical Process Engineering Lab,Crawford Hall,"Optimizes reaction engineering, separation processes, and catalysis for pharmaceutical and specialty chemical manufacturing with reduced waste outputs.",2016-09-01,,Industry Innovation and Infrastructure|Responsible Consumption and Production|Good Health and Well-being
,Industrial Waste Recovery & Valorization Lab,Crawford Hall,"Develops circular-economy pathways to convert industrial by-products and waste streams into high-value chemicals and materials.",2021-01-01,,Responsible Consumption and Production|Industry Innovation and Infrastructure|Climate Action
,Gender & Sexuality Studies Research Lab,Quinn Hall,"Produces interdisciplinary scholarship on gender, sexuality, and power, with a focus on policy, media representation, and social movements.",2018-09-01,,Gender Equality|Reduced Inequalities|Peace Justice and Strong Institutions
,Migration, Diaspora & Global Labor Lab,Quinn Hall,"Studies international migration patterns, immigrant integration, and the political economy of global labor with a focus on the North Atlantic region.",2020-01-01,,Reduced Inequalities|Decent Work and Economic Growth|No Poverty
,Nutrition Science & Food Security Lab,Fogarty Hall,"Investigates dietary patterns, nutrient metabolism, and food access barriers to inform public health interventions addressing diet-related disease.",2017-01-01,,Good Health and Well-being|Zero Hunger|No Poverty
,Public Health Systems & Health Equity Lab,Fogarty Hall,"Analyzes healthcare access, insurance coverage, and social determinants of health to design equitable delivery systems for underserved populations.",2019-09-01,,Good Health and Well-being|Reduced Inequalities|No Poverty
,Open Data & Research Commons Lab,Robert L Carothers Library & Learning Commons,"Develops open-source tools, data repositories, and metadata standards to increase the accessibility and reusability of academic research outputs.",2021-01-01,,Quality Education|Industry Innovation and Infrastructure|Partnerships for the Goals
,Digital Preservation & Archival Science Lab,Robert L Carothers Library & Learning Commons,"Researches long-term digital preservation strategies for cultural heritage collections, government records, and research datasets.",2019-09-01,,Peace Justice and Strong Institutions|Quality Education|Partnerships for the Goals
,Social Mobility & Stratification Lab,Chafee Social Science Center,"Examines intergenerational mobility, educational attainment, and occupational trajectories across race, class, and geographic lines in the United States.",2018-01-01,,Reduced Inequalities|No Poverty|Quality Education
,Behavioral Economics & Decision Lab,Chafee Social Science Center,"Studies how cognitive biases, social norms, and institutional incentives shape economic decisions, with applications in savings, health, and energy behavior.",2020-09-01,,Reduced Inequalities|Decent Work and Economic Growth|Good Health and Well-being
,Quantum Materials & Condensed Matter Lab,Woodward Hall,"Synthesizes and characterizes novel quantum materials including superconductors, topological insulators, and two-dimensional heterostructures.",2019-01-01,,Industry Innovation and Infrastructure|Affordable and Clean Energy|Decent Work and Economic Growth
,Computational Chemistry & Molecular Design Lab,Woodward Hall,"Uses high-performance computing and machine learning to model molecular interactions for drug discovery, catalysis, and materials informatics.",2020-09-01,,Good Health and Well-being|Industry Innovation and Infrastructure|Decent Work and Economic Growth
,Business Analytics & Strategy Lab,Avedisian Hall,"Partners with regional businesses to apply advanced analytics, operations research, and market intelligence to strategic decision-making challenges.",2018-09-01,,Decent Work and Economic Growth|Industry Innovation and Infrastructure|Partnerships for the Goals
,Social Enterprise & Impact Investing Lab,Avedisian Hall,"Researches social enterprise models, impact measurement frameworks, and blended finance instruments to scale solutions to societal challenges.",2020-01-01,,No Poverty|Reduced Inequalities|Decent Work and Economic Growth
,Creative Technology & Interactive Media Lab,Fine Arts Center,"Explores generative art, interactive installation, and immersive XR experiences, developing new tools at the boundary of computation and creative practice.",2021-09-01,,Industry Innovation and Infrastructure|Quality Education|Decent Work and Economic Growth
,Visual Culture & Critical Theory Group,Fine Arts Center,"Investigates how images, objects, and built environments produce and contest social meaning, identity, and political power across historical periods.",2017-06-01,,Reduced Inequalities|Peace Justice and Strong Institutions|Quality Education
,Marine Ecosystem Monitoring Lab,Coastal Institute,"Deploys autonomous underwater vehicles and sensor networks to monitor water quality, harmful algal blooms, and fish population dynamics in Narragansett Bay.",2016-09-01,,Life Below Water|Clean Water and Sanitation|Climate Action
,Coastal Resilience & Climate Adaptation Lab,Coastal Institute,"Develops science-based frameworks for shoreline management, living shorelines, and managed retreat to protect coastal communities from sea-level rise.",2018-01-01,,Climate Action|Life Below Water|Sustainable Cities and Communities
,Ocean Engineering & Blue Economy Lab,Rodman Hall,"Designs offshore structures, mooring systems, and subsea equipment for aquaculture, offshore wind, and deep-sea resource monitoring.",2020-01-01,,Life Below Water|Affordable and Clean Energy|Industry Innovation and Infrastructure
,Offshore Renewable Energy & Grid Integration Lab,Rodman Hall,"Studies the technical and regulatory challenges of connecting offshore wind and tidal energy projects to regional electricity grids.",2021-09-01,,Affordable and Clean Energy|Climate Action|Industry Innovation and Infrastructure
,Genomics & Precision Medicine Lab,Center for Biotechnology and Life Sciences,"Applies next-generation sequencing and bioinformatics to identify genetic variants associated with complex diseases, enabling personalized treatment strategies.",2017-09-01,,Good Health and Well-being|Industry Innovation and Infrastructure|Decent Work and Economic Growth
,Biomanufacturing & Synthetic Biology Lab,Center for Biotechnology and Life Sciences,"Engineers microbial and mammalian cell factories for the sustainable production of pharmaceuticals, biofuels, and specialty biochemicals.",2019-01-01,,Good Health and Well-being|Responsible Consumption and Production|Industry Innovation and Infrastructure
,Physics of Living Systems Lab,Washburn Hall,"Applies statistical mechanics, soft-matter physics, and imaging to understand how biological cells sense, move, and organize into tissues.",2020-09-01,,Good Health and Well-being|Industry Innovation and Infrastructure|Quality Education
,Neurophysiology & Neural Circuits Lab,Washburn Hall,"Investigates synaptic plasticity, sensory processing, and motor control using electrophysiology and calcium imaging in model organisms.",2018-01-01,,Good Health and Well-being|Industry Innovation and Infrastructure|Quality Education
,Forensic DNA & Trace Evidence Lab,Beaupre Center for Chemical and Forensic Sciences,"Develops cutting-edge techniques in forensic DNA typing, touch DNA analysis, and trace evidence interpretation to support criminal justice accuracy.",2016-09-01,,Peace Justice and Strong Institutions|Good Health and Well-being|Industry Innovation and Infrastructure
,Green Chemistry & Sustainable Synthesis Lab,Beaupre Center for Chemical and Forensic Sciences,"Designs atom-economical, solvent-free, and bio-based synthetic routes to reduce hazardous waste and energy consumption in chemical manufacturing.",2019-09-01,,Responsible Consumption and Production|Industry Innovation and Infrastructure|Climate Action
,Environmental Toxicology & Risk Assessment Lab,White Hall,"Quantifies human and ecological exposure to contaminants in soil, water, and air, providing risk assessments that guide remediation and regulatory policy.",2017-09-01,,Good Health and Well-being|Clean Water and Sanitation|Life on Land
,Biochemical Engineering & Bioprocess Lab,White Hall,"Optimizes fermentation, cell culture, and downstream processing to scale up biological products from bench to pilot scale for biopharmaceuticals.",2020-01-01,,Good Health and Well-being|Industry Innovation and Infrastructure|Responsible Consumption and Production
,Poverty, Inequality & Social Policy Lab,Social Sciences Research Center,"Combines survey research, administrative data, and field experiments to evaluate anti-poverty programs and social safety net reforms.",2019-01-01,,No Poverty|Reduced Inequalities|Good Health and Well-being
,Community Health Disparities Lab,Social Sciences Research Center,"Identifies structural drivers of racial and geographic health disparities and co-designs interventions with affected communities to achieve health equity.",2020-09-01,,Good Health and Well-being|Reduced Inequalities|No Poverty
,Race, Equity & Social Justice Lab,Multicultural Center,"Conducts participatory action research on systemic racism, campus climate, and institutional equity to support transformative policy at URI and beyond.",2018-09-01,,Reduced Inequalities|Peace Justice and Strong Institutions|Quality Education
,Cross-Cultural Communication & Inclusion Lab,Multicultural Center,"Studies intercultural competence, multilingualism, and identity negotiation to develop evidence-based diversity training and curriculum across disciplines.",2020-01-01,,Reduced Inequalities|Quality Education|Peace Justice and Strong Institutions
,Student Business Incubator & Venture Lab,Memorial Union,"Provides co-working space, coaching, and micro-grants for student entrepreneurs developing consumer products, campus services, and social ventures.",2017-01-01,,Decent Work and Economic Growth|Industry Innovation and Infrastructure|No Poverty
,Campus Food Systems & Nutrition Access Lab,Memorial Union,"Studies food insecurity among college students and pilots sustainable campus dining interventions including food recovery, local sourcing, and community fridges.",2021-09-01,,Zero Hunger|Responsible Consumption and Production|Good Health and Well-being
,Theater & Social Change Research Lab,Tyler Hall,"Investigates applied theater, community drama, and narrative performance as tools for civic engagement, trauma healing, and social justice advocacy.",2019-01-01,,Peace Justice and Strong Institutions|Reduced Inequalities|Good Health and Well-being
,Immersive Media & XR Design Lab,Tyler Hall,"Designs virtual and augmented reality experiences for education, accessibility, and public storytelling, with a focus on underrepresented perspectives.",2021-01-01,,Quality Education|Reduced Inequalities|Industry Innovation and Infrastructure
